,Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,geometry
1728,ESTRADA DO CUNHA,58030000,1,796.0,58,CUNHA,SÃO PAULO,ANA,-22.9939,-45.0439,1934/03/21,2019/12/31,86,0.1,82,4.7,POINT (-5014264.0113431355 -2631280.9624407315)
1729,FAZENDA CUME,58033000,1,94.5,58,CUNHA,SÃO PAULO,DAEE-SP,-23.0056,-44.9144,1958/10/01,1972/12/17,15,2.1,11,26.7,POINT (-4999848.137285407 -2632695.8769066567)
1730,BAIRRO FAXINAL,58035000,1,47.3,58,LAGOINHA,SÃO PAULO,DAEE-SP,-23.0736,-45.2,1959/03/10,1975/02/19,17,0.5,14,17.6,POINT (-5031640.9838559665 -2640921.742513468)
1731,SÃO LUÍS DO PARAITINGA,58040000,1,1950.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.2386,-45.3067,1988/02/13,2019/12/31,32,0.3,27,15.6,POINT (-5043518.773523607 -2660898.887763142)
1732,SÃO LUÍS DO PARAITINGA,58040100,1,1940.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.2167,-45.3,1930/08/18,1974/12/31,45,0.0,44,2.2,POINT (-5042772.932935293 -2658245.9579968536)
1733,SÃO LUÍS DO PARAITINGA,58040200,1,1950.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.2394,-45.3053,1973/01/01,1995/12/31,23,34.3,14,39.1,POINT (-5043362.926236497 -2660995.806680362)
1734,PONTE DOS MINEIROS,58045000,1,2430.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.3272,-45.4694,1951/01/01,1974/12/31,24,0.0,24,0.0,POINT (-5061630.4546756735 -2671636.195155082)
1735,PONTE ALTA 1,58060000,1,277.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.33,-45.1436,1933/08/29,2019/12/31,87,0.3,83,4.6,POINT (-5025362.564575225 -2671975.639721575)
1736,PONTE ALTA 2,58065000,1,23.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.3453,-45.1394,1935/02/01,1979/01/31,45,3.4,38,15.6,POINT (-5024895.022713893 -2673830.588203806)
1737,UHE PARAIBUNA FAZENDA PALMEIRAS,58068000,1,437.0,58,NATIVIDADE DA SERRA,SÃO PAULO,CESP,-23.4211,-45.2889,1964/11/01,1983/12/31,20,4.8,17,15.0,POINT (-5041537.286587487 -2683023.620684346)
1738,BAIRRO ALTO,58070000,1,585.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.4736,-45.3542,1938/10/01,1974/01/20,37,14.2,30,18.9,POINT (-5048806.4493362885 -2689393.9141854965)
1739,NATIVIDADE DA SERRA 2,58075000,1,141.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.3875,-45.4417,1939/06/20,1974/01/31,36,14.7,28,22.2,POINT (-5058546.904780699 -2678947.9599927426)
1740,NATIVIDADE DA SERRA 1,58078000,1,708.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.3931,-45.4611,1935/10/01,1974/02/21,40,2.4,37,7.5,POINT (-5060706.50290209 -2679627.164949385)
1741,VARGINHA,58082000,1,414.0,58,PARAIBUNA,SÃO PAULO,ANA,-23.4542,-45.5458,1953/05/16,1961/01/25,9,0.0,7,22.2,POINT (-5070135.263772279 -2687039.6441176557)
1742,BAIRRO DO CARACOL,58087000,1,1480.0,58,PARAIBUNA,SÃO PAULO,ANA,-23.4111,-45.6389,1953/08/07,1958/12/31,6,0.0,5,16.7,POINT (-5080499.108365133 -2681810.518290538)
1743,UHE PARAIBUNA JUSANTE,58087300,1,4150.0,58,PARAIBUNA,SÃO PAULO,CESP,-23.4144,-45.6081,1969/09/01,2012/12/31,44,41.0,8,81.8,POINT (-5077070.4680487 -2682210.831944174)
1744,ESTRADA DE PARAIBUNA,58088000,1,4350.0,58,PARAIBUNA,SÃO PAULO,ANA,-23.3583,-45.6917,1950/01/01,1958/12/31,9,6.5,8,11.1,POINT (-5086376.777479018 -2675406.8562221453)
1745,UHE SANTA BRANCA,58093080,1,4920.0,58,SANTA BRANCA,SÃO PAULO,LIGHT,-23.3667,-45.8833,1995/01/01,2015/06/29,21,0.1,19,9.5,POINT (-5107705.591915009 -2676425.4500075374)
1746,UHE SANTA BRANCA JUSANTE,58096000,1,4920.0,58,JACAREÍ,SÃO PAULO,LIGHT,-23.3672,-45.8778,1956/11/09,2012/12/31,57,0.6,49,14.0,POINT (-5107093.334715646 -2676486.082624288)
1747,SANTA BRANCA,58097000,1,4940.0,58,SANTA BRANCA,SÃO PAULO,CESP,-23.3667,-45.9,1965/01/01,1972/12/31,8,0.5,6,25.0,POINT (-5109564.627411257 -2676425.4500075374)
1748,SANTA BRANCA,58099000,1,4940.0,58,SANTA BRANCA,SÃO PAULO,ANA,-23.3689,-45.9003,1952/06/10,2019/12/31,68,4.4,62,8.8,POINT (-5109598.023258495 -2676692.235231292)
1749,GUARAREMA,58105000,1,5210.0,58,GUARAREMA,SÃO PAULO,ANA,-23.4153,-46.025,1932/01/01,1980/03/12,49,1.7,46,6.1,POINT (-5123479.563760416 -2682320.0101279193)
1750,GUARAREMA,58105200,1,5210.0,58,GUARAREMA,SÃO PAULO,CESP,-23.4167,-46.0167,1965/02/01,1972/12/31,8,0.5,4,50.0,POINT (-5122555.611986832 -2682489.8443343923)
1751,UHE SANTA BRANCA GUARAREMA,58105300,1,5210.0,58,GUARAREMA,SÃO PAULO,LIGHT,-23.4153,-46.0244,1998/01/01,2015/12/31,18,0.0,18,0.0,POINT (-5123412.77206594 -2682320.0101279193)
1752,LUIZ CARLOS - RÉGUA VELHA,58107100,1,46.0,58,GUARAREMA,SÃO PAULO,ANA,-23.45,-46.05,1934/02/22,1942/12/31,9,0.0,8,11.1,POINT (-5126262.5510302475 -2686530.002335123)
1753,UHE SANTA BRANCA JACAREÍ,58110000,1,5470.0,58,JACAREÍ,SÃO PAULO,LIGHT,-23.3106,-45.9711,1931/03/01,1972/07/31,42,0.2,39,7.1,POINT (-5117479.443206659 -2669623.920676502)
1754,JACAREÍ,58110002,1,5470.0,58,JACAREÍ,SÃO PAULO,ANA,-23.3078,-45.975,2000/01/01,2019/06/30,20,3.1,16,20.0,POINT (-5117913.589220753 -2669284.5256496808)
1755,IGARATA 2,58118000,1,481.0,58,IGARATA,SÃO PAULO,ANA,-23.2083,-46.1278,1950/06/01,1968/12/31,19,0.0,18,5.3,POINT (-5134923.207413965 -2657228.5113267433)
1756,USINA DO TURVO,58122000,1,352.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,ANA,-23.0944,-46.0222,1952/07/29,1969/12/31,18,0.0,16,11.1,POINT (-5123167.869186195 -2643438.7197311423)
1757,IGARATA 1,58126000,1,692.0,58,IGARATA,SÃO PAULO,ANA,-23.1861,-46.0917,1935/12/12,1969/05/31,35,0.0,33,5.7,POINT (-5130904.573796328 -2654539.852918032)
1758,FAZENDA SÃO JOÃO,58128000,1,1270.0,58,IGARATA,SÃO PAULO,ANA,-23.2125,-46.0694,1950/06/23,1966/12/31,17,0.0,16,5.9,POINT (-5128422.149151638 -2657737.2266654326)
1759,UHE JAGUARI BARRAMENTO,58128100,1,1300.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,CESP,-23.1936,-46.0258,1995/01/01,2015/06/29,21,0.1,19,9.5,POINT (-5123568.61935305 -2655448.1335301185)
1760,UHE JAGUARI JUSANTE,58128200,1,1300.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,CESP,-23.1992,-46.0183,1964/03/01,1978/12/31,15,46.0,6,60.0,POINT (-5122733.723172101 -2656126.3496057247)
1761,FAZENDA BARBOSA,58129000,1,1290.0,58,IGARATA,SÃO PAULO,ANA,-23.1972,-46.0389,1954/01/01,1960/12/31,7,0.0,7,0.0,POINT (-5125026.904682443 -2655884.1263177753)
1762,BAIRRO TABOÃO  ,58132000,1,175.0,58,MOGI DAS CRUZES,SÃO PAULO,DAEE-SP,-23.35,-46.2,1969/01/01,1973/02/27,5,4.1,3,40.0,POINT (-5142960.474649239 -2674400.4518977026)
1763,BAIRRO REMEDINHO ,58138000,1,367.0,58,JACAREÍ,SÃO PAULO,DAEE-SP,-23.2333,-46.0333,1961/09/11,1973/01/27,13,12.0,5,61.5,POINT (-5124403.5155340005 -2660256.8146121018)
1764,FAZENDA IGACABA  ,58140100,1,7890.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,DAEE-SP,-23.1544,-45.8911,1958/08/01,1989/11/30,32,17.6,24,25.0,POINT (-5108573.883943196 -2650701.415750382)
1765,MONTEIRO LOBATO,58141000,1,146.0,58,MONTEIRO LOBATO,SÃO PAULO,CESP,-22.95,-45.85,1965/08/03,1972/12/31,8,17.9,2,75.0,POINT (-5103998.652871594 -2625973.1022546836)
1766,BARRAGEM BUQUIRA,58141800,1,392.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,CESP,-23.1167,-45.9167,1964/10/08,1974/09/30,11,5.9,5,54.5,POINT (-5111423.6629075045 -2646137.6425709594)
1767,BUQUIRINHA,58142000,1,392.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,ANA,-23.1139,-45.9125,1932/02/18,1972/07/31,41,0.0,39,4.9,POINT (-5110956.121046172 -2645798.7397594713)
1768,BUQUIRINHA II,58142200,1,407.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,ANA,-23.1247,-45.9072,1979/01/14,2019/12/31,41,0.0,39,4.9,POINT (-5110366.127744969 -2647105.9752791757)
1769,PARARANGABA  ,58147000,1,50.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,DAEE-SP,-23.1833,-45.8,1960/02/19,2011/12/31,52,35.4,30,42.3,POINT (-5098432.678331929 -2654200.7745448784)
1770,BAIRRO SANTA LUZIA  ,58148000,1,62.2,58,CAÇAPAVA,SÃO PAULO,DAEE-SP,-23.15,-45.75,1970/01/01,1975/12/27,6,0.0,5,16.7,POINT (-5092866.703792266 -2650168.7076353775)
